name,record,record_len,accel-system.cpu.numCycles,accel-simInsts,accel-simOps,accel-zeroCount,accel-sameAdd,accel-switchingAdd,accel-sameDiv,accel-switchingDiv,naive-system.cpu.numCycles,naive-simInsts,naive-simOps,naive-zeroCount,naive-sameAdd,naive-switchingAdd,naive-sameDiv,naive-switchingDiv,exit_code
cifar100_vitb,29,100,2079,30,30,13,12,240,7,93,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,0,100,2079,30,30,15,12,240,8,92,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,1,100,2079,30,30,14,9,243,6,94,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,2,100,2079,30,30,12,9,243,3,97,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,3,100,2079,30,30,5,4,248,1,99,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,4,100,2079,30,30,13,10,242,6,94,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,5,100,2079,30,30,7,7,245,0,100,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,30,100,2079,30,30,7,4,248,2,98,495304,6410,6410,0,0,0,0,0,0x00020064
cifar100_vitb,31,100,2079,30,30,8,4,248,3,97,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,32,100,2079,30,30,7,4,248,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,33,100,2079,30,30,26,22,230,11,89,495302,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,34,100,2079,30,30,9,5,247,2,98,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,35,100,2079,30,30,16,13,239,8,92,495356,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,78,100,2079,30,30,12,8,244,1,99,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,79,100,2079,30,30,9,6,246,3,97,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,80,100,2079,30,30,23,14,238,10,90,495337,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,81,100,2079,30,30,11,4,248,3,97,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,82,100,2079,30,30,9,10,242,5,95,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,83,100,2079,30,30,6,2,250,1,99,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,54,100,2079,30,30,13,11,241,6,94,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,55,100,2079,30,30,10,7,245,3,97,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,56,100,2079,30,30,19,11,241,8,92,495370,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,57,100,2079,30,30,7,4,248,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,58,100,2079,30,30,13,12,240,7,93,495356,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,59,100,2079,30,30,12,11,241,4,96,495342,6410,6410,0,0,0,0,0,0x00000064
cifar10_vitb,0,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,1,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,2,10,1934,30,30,1,42,21,1,9,55231,650,650,0,0,0,0,0,0x0000000a
cifar10_vitb,3,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,4,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,5,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,42,10,1934,30,30,1,42,21,1,9,55231,650,650,0,0,0,0,0,0x0000000a
cifar10_vitb,43,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,44,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,45,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,46,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,47,10,1934,30,30,2,43,20,2,8,55231,650,650,0,0,0,0,0,0x0000000a
cifar10_vitb,24,10,1934,30,30,1,42,21,1,9,55231,650,650,0,0,0,0,0,0x0000000a
cifar10_vitb,25,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,26,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,27,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,28,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,29,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,78,10,1934,30,30,1,42,21,1,9,55231,650,650,0,0,0,0,0,0x0000000a
cifar10_vitb,79,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,80,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,81,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,82,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,83,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,6,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,7,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,8,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,9,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
cifar10_vitb,10,10,1934,30,30,0,41,22,0,10,55231,650,650,0,0,0,0,0,0x00000000
